numero,alcaldia,nombre mercado,numero oficial,numero de locales,latitud,longitud,coord
100.0,CUAUHTEMOC,MERCED MIXCALCO,108,920.0,19.434380914799998,-99.125105999900001,"19.4343809148,-99.1251059999"
211.0,MIGUEL HIDALGO,ANAHUAC ANEXO,72,280.0,19.440241914800001,-99.170317999900007,"19.4402419148,-99.1703179999"
221.0,MIGUEL HIDALGO,PLUTARCO ELIAS CALLES       (EL CHORRITO),75,361.0,19.410592914900000,-99.190316999900006,"19.4105929149,-99.1903169999"
220.0,MIGUEL HIDALGO,MONTE ATHOS,79,63.0,19.419254914800000,-99.214743999899994,"19.4192549148,-99.2147439999"
218.0,MIGUEL HIDALGO,LAGO GARDA,93,319.0,19.450054914799999,-99.186031999899996,"19.4500549148,-99.1860319999"
222.0,MIGUEL HIDALGO,PRADO NORTE,172,122.0,19.427346914899999,-99.212448999900005,"19.4273469149,-99.2124489999"
223.0,MIGUEL HIDALGO,PRADO SUR,196,23.0,19.421640914899999,-99.209272999899994,"19.4216409149,-99.2092729999"
289.0,VENUSTIANO CARRANZA,JAMAICA ZONA,15,562.0,19.408583914899999,-99.122787999899998,"19.4085839149,-99.1227879999"
303.0,VENUSTIANO CARRANZA,MOCTEZUMA,21,526.0,19.432238914799999,-99.097047000000003,"19.4322389148,-99.097047"
293.0,VENUSTIANO CARRANZA,MERCED AMPUDIA,52,151.0,19.427189914900001,-99.125209999999996,"19.4271899149,-99.12521"
298.0,VENUSTIANO CARRANZA,MERCED NAVE MAYOR,102,4200.0,19.426185914900000,-99.123812999999998,"19.4261859149,-99.123813"
