Alcaldía,Polígono ,Colonia ,Año,Mes,Ingreso por Estacionamiento en Vía Pública ,Contraprestación 30%                                (F)             ,Ingreso por Retiro de Candado Inmovilizador,70% Inmovilizador           (H),Pago al GCDMX       (F-H)
Miguel Hidalgo,Polanco -Anzures,Los Morales,2013,Mayo,599516.0,179854.8,0.0,0.0,179854.8
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Alameda,2013,Mayo,249644.0,74893.2,0.0,0.0,74893.2
Miguel Hidalgo,Polanco -Anzures,Polanco Reforma,2013,Junio,1396654.0,418996.2,0.0,0.0,418996.2
Miguel Hidalgo,Polanco -Anzures,Morales Secc. Palmas,2013,Junio,457403.0,137220.9,0.0,0.0,137220.9
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Junio,317764.0,95329.2,0.0,0.0,95329.2
Miguel Hidalgo,Polanco -Anzures,Palmitas,2013,Julio,376522.0,112956.6,0.0,0.0,112956.6
Cuauhtémoc,Roma - Hipódromo,Hipódromo I,2013,Julio,1506293.0,451887.9,0.0,0.0,451887.9
Miguel Hidalgo,Lomas Chapultepec,Lomas Virreyes,2013,Agosto,362687.0,108806.1,0.0,0.0,108806.1
Cuauhtémoc,Roma Hipódromo,Hipódromo I,2013,Agosto,1418436.0,425530.8,0.0,0.0,425530.8
Cuauhtémoc,Roma Hipódromo,Hipódromo II,2013,Agosto,1144437.0,343331.1,0.0,0.0,343331.1
