Red Manual
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.cdmx.gob.mx
timeStamp:,1989/01/08 al 2017/10/28		
average_interval: 001d
Date,cve_station,cve_parameter,value,unit
04/11/1989,PED,PbPST,0.67,2
04/11/1989,TLA,PbPST,0.78,2
04/11/1989,XAL,PbPST,2.33,2
04/11/1989,MCM,PbPST,1.1,2
04/11/1989,FAN,PbPST,0.97,2
04/11/1989,TEC,PbPST,1.61,2
04/11/1989,CFE,PbPST,0.86,2
10/11/1989,CES,PbPST,1.27,2
10/11/1989,MER,PbPST,1.43,2
10/11/1989,PED,PbPST,0.82,2
10/11/1989,TLA,PbPST,1.37,2
10/11/1989,XAL,PbPST,3.91,2
10/11/1989,MCM,PbPST,1.24,2
10/11/1989,FAN,PbPST,1.04,2
10/11/1989,TEC,PbPST,1.92,2
10/11/1989,CFE,PbPST,0.88,2
16/11/1989,CES,PbPST,0.77,2
16/11/1989,MER,PbPST,1.76,2
16/11/1989,MCM,PbPST,1.24,2
16/11/1989,FAN,PbPST,0.88,2
22/11/1989,CES,PbPST,0.95,2
22/11/1989,MER,PbPST,1.13,2
22/11/1989,PED,PbPST,0.84,2
22/11/1989,TLA,PbPST,1.16,2
22/11/1989,XAL,PbPST,1.85,2
22/11/1989,MCM,PbPST,0.99,2
22/11/1989,FAN,PbPST,1.06,2
22/11/1989,TEC,PbPST,1.26,2
22/11/1989,CFE,PbPST,0.7,2
04/12/1989,CES,PbPST,0.99,2
04/12/1989,MER,PbPST,1.25,2
04/12/1989,TLA,PbPST,1.19,2
04/12/1989,XAL,PbPST,1.99,2
04/12/1989,MCM,PbPST,1.24,2
04/12/1989,FAN,PbPST,0.84,2
04/12/1989,TEC,PbPST,1.45,2
04/12/1989,CFE,PbPST,1.3,2
16/12/1989,CES,PbPST,1.52,2
16/12/1989,MER,PbPST,2.62,2
16/12/1989,PED,PbPST,0.61,2
16/12/1989,TLA,PbPST,2.4,2
16/12/1989,XAL,PbPST,5.3,2
16/12/1989,MCM,PbPST,2.38,2
16/12/1989,FAN,PbPST,1.74,2
16/12/1989,TEC,PbPST,3.66,2
16/12/1989,CFE,PbPST,1.65,2
22/12/1989,CES,PbPST,1.09,2
22/12/1989,MER,PbPST,1.67,2
22/12/1989,PED,PbPST,0.96,2
22/12/1989,TLA,PbPST,1.75,2
22/12/1989,XAL,PbPST,5.69,2
22/12/1989,MCM,PbPST,1.71,2
22/12/1989,FAN,PbPST,1.22,2
22/12/1989,TEC,PbPST,1.95,2
28/12/1989,CES,PbPST,1.31,2
28/12/1989,MER,PbPST,2,2
28/12/1989,PED,PbPST,0.75,2
28/12/1989,TLA,PbPST,2,2
28/12/1989,XAL,PbPST,2.83,2
28/12/1989,MCM,PbPST,1.98,2
28/12/1989,FAN,PbPST,1.46,2
28/12/1989,TEC,PbPST,2.19,2
28/12/1989,CFE,PbPST,1.31,2
08/01/1989,CES,PbPM10,1.37,2
08/01/1989,MER,PbPM10,2.04,2
08/01/1989,PED,PbPM10,0.85,2
08/01/1989,TLA,PbPM10,1.21,2
08/01/1989,XAL,PbPM10,2.2,2
20/01/1989,CES,PbPM10,1.76,2
20/01/1989,MER,PbPM10,1.81,2
20/01/1989,PED,PbPM10,1.02,2
20/01/1989,TLA,PbPM10,1.08,2
20/01/1989,XAL,PbPM10,3.14,2
01/02/1989,CES,PbPM10,0.63,2
01/02/1989,MER,PbPM10,0.89,2
01/02/1989,PED,PbPM10,0.71,2
01/02/1989,TLA,PbPM10,1.16,2
13/02/1989,MER,PbPM10,1.01,2
13/02/1989,TLA,PbPM10,0.83,2
13/02/1989,XAL,PbPM10,2.38,2
03/03/1989,CES,PbPM10,0.83,2
03/03/1989,MER,PbPM10,1.06,2
03/03/1989,PED,PbPM10,0.6,2
03/03/1989,TLA,PbPM10,0.71,2
03/03/1989,XAL,PbPM10,2.14,2
15/03/1989,CES,PbPM10,0.68,2
15/03/1989,MER,PbPM10,1.09,2
15/03/1989,PED,PbPM10,0.98,2
15/03/1989,TLA,PbPM10,0.88,2
15/03/1989,XAL,PbPM10,2.26,2
14/04/1989,MER,PbPM10,1.11,2
